Partita,Risultato,Numero_maglia,Nome,Gol,Assist,Contrasti,Uno contro uno,Uno contro uno riusciti,Minuti giocati,Posizione,Valutazione,Squadra,Match_winner,Tiri in porta,Tiri fuori,Tiri bloccati,Dribbling tentati,Dribbling tentati riusciti,Salvataggi,Intercetti,Dribbling_subiti,Passaggi effettuati,Precisione_passaggi,Passaggi chiave,Cross,Cross prec.,Palle lunghe,Palle lunghe riusciti,Palle_perse,Falli subiti,Falli,Respinte,Uscite,Vincenti,Duelli di testa vinti,Parate da dentro l'area,Salvataggio sulla linea di porta,Rigori parati,Grossa occasione da rete creata,Autogol,Errore che ha portato al tiro,Falli da rigore commessi,Errori che hanno portato al gol,Rigori sbagliati,Fallo su ultimo uomo,Pali e traverse,Grande occasione da rete mancata,Rigori conquistati
Southampton - Stoke City,0-0,11,Jesé Rodríguez,0,0,0,2,0.5,26',F,6.7,Stoke City,Pareggio,0,1,0,2,0.5,1,0,0,6,0.75,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,11,Dušan Tadić,0,0,3,11,0.64,64',M,6.7,Southampton,Pareggio,0,0,0,1,1.0,0,0,1,17,0.70,0,3,0.33,2,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,19,Sofiane Boufal,0,0,2,4,1.0,14',M,6.6,Southampton,Pareggio,0,1,0,0,0,0,0,0,3,1,0,1,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Southampton - Stoke City,0-0,22,Xherdan Shaqiri,0,0,0,12,0.25,90',M,6.6,Stoke City,Pareggio,0,0,0,5,0.2,0,1,3,20,0.76,5,3,0.33,3,1.0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,18,Mame Biram Diouf,0,0,0,1,1.0,23',F,6.6,Stoke City,Pareggio,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,27,Badou Ndiaye,0,0,2,15,0.27,90',M,6.5,Stoke City,Pareggio,2,2,1,1,0.0,1,0,2,15,0.83,1,0,0,1,1.0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Southampton - Stoke City,0-0,14,Oriol Romeu,0,0,1,15,0.27,90',M,6.5,Southampton,Pareggio,0,0,0,1,1.0,0,0,1,48,0.87,1,0,0,6,0.67,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,20,Manolo Gabbiadini,0,0,0,1,0.0,26',F,6.5,Southampton,Pareggio,0,0,0,0,0,0,0,0,4,0.80,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,20,Geoff Cameron,0,0,2,13,0.38,90',M,6.5,Stoke City,Pareggio,0,0,2,1,0.0,2,5,3,14,0.73,1,0,0,4,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton - Stoke City,0-0,7,Shane Long,0,0,0,2,0.5,11',F,6.5,Southampton,Pareggio,0,0,0,0,0,0,0,0,2,0.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
